0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
0,2,2,2,2,0,4,4,4,4,4,4,4,4,0
0,2,2,2,2,0,0,15,15,27,4,4,4,57,58
0,0,0,0,0,0,0,48,49,50,15,15,15,69,70
0,0,0,0,0,115,48,97,61,62,0,0,0,81,82
0,0,0,0,0,48,97,61,61,96,49,50,0,0,0
0,0,0,0,0,60,61,61,61,61,61,96,49,49,49
0,0,0,0,0,72,73,85,61,61,61,61,61,61,61
107,0,0,0,0,0,0,72,73,73,73,85,61,61,61
58,59,0,41,6,6,19,3,0,165,167,72,73,85,61
70,71,119,3,12,37,28,1,0,215,57,58,59,72,73
70,71,95,4,24,37,28,0,0,0,69,70,105,58,58
70,71,107,0,36,26,28,3,57,58,106,70,70,70,70
70,105,58,59,119,37,28,0,69,70,70,70,70,70,70
70,70,70,71,119,0,28,0,69,70,70,70,70,70,70
